id,keyword,location,text,target
0,ablaze,,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze…,1
1,ablaze,,telangana section imposed bhainsa january clash erupted two group january po…,1
2,ablaze,USA,arsonist set car ablaze dealership,1
3,ablaze,"Morgantown, WV",arsonist set car ablaze dealership,1
4,ablaze,,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l…,0
5,ablaze,OC,child chinese tweet would gone viral social medium would ablaze snl would made racist j…,0
6,ablaze,UK,several house set ablaze ngemsibaa village oku sub division north west region cameroon by…,1
7,ablaze,Bharat,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b…,1
8,ablaze,"Accra, Ghana",national security minister kan dapaahs side chic set internet ablaze latest powerful video…,0
9,ablaze,Searching,creature who’s soul longer clarent blue ablaze thing carrying memory memory of…,0
10,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military reported…,1
11,ablaze,,social medium went banana chuba hubbard announced monday evening plan return okstate,0
12,ablaze,,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office…,1
13,ablaze,HYDERABAD,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol was…,1
14,ablaze,"Reno, NV",amen set whole system ablaze man,0
15,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military is…,1
16,ablaze,,cow today local factory sadly still ablaze,1
17,ablaze,,rengoku set heart ablaze:pensive_face::red_heart_selector::fire: p missed style coloring c 鬼滅の刃,0
18,ablaze,Worldwide,paulzizkaphoto “rundle ablaze” wishing good evening,0
19,ablaze,,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou…,1
20,ablaze,,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total of…,1
21,ablaze,,fire ablaze throughout landas prophosized apocalypse come fruitionnot building standingas come st…,1
22,ablaze,Italy,thankfultuesday isaiah pas water pas r…,0
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .",⠀⠀when walk fire ⠀⠀you scorched ⠀⠀flames set ablaze ──── product…,0
24,ablaze,Okielahoma,originally intended fired boarder opposing ship crew gunner ship riggi…,1
25,ablaze,,warm greeting occasion lohri winter pass may everyones woe trouble set ablaze t…,0
26,ablaze,,another arson njikomboyonwr ambazombies yesterday set ablaze council building country wo…,1
27,ablaze,Havana 3am,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become…,1
28,ablaze,,kind true sadly,0
29,ablaze,,swear jam set world ablaze,0
30,ablaze,,marivan kurdistan province monday jan protester set propaganda banner qassemsoleimani ablaze i…,1
31,ablaze,"Washington, DC",marivan kurdistan province monday jan protester set propaganda banner qassemsoleimani ablaze…,1
32,ablaze,India,turn blind eye icident setting ablaze house h…,1
33,ablaze,"Salta, Argentina",love completely crazy youve fucking dream ripped like torn jean dont ev…,0
34,accident,Wherever socks go in the dryer,term demon burning dark ruined people cannot use magic interact without harm ac…,0
35,accident,Kuala Lumpur,:camera: heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo…,0
36,accident,,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med…,1
37,accident,"Sydney, New South Wales",:red_heart_selector::red_heart_selector::red_heart_selector: gave u everything horrible foot infection wore one thong…,0
38,accident,Africa,:beaming_face_with_smiling_eyes:yeah new swag point since accident like totally transformed bob…,0
39,accident,"Davanagere, India ",cool day git push origin currentbranchname know that…,0
40,accident,"Lyndhurst, OH",preorder newrelease today witness connected investigating thenutcrackerconspiracy died either a…,1
41,accident,"Covina, Ca",back neck still fucked accident :pouting_face::pouting_face::loudly_crying_face::loudly_crying_face:,0
42,accident,"Colorado, Brighton",rt prince harry confirmed mother’s princess diana death accident,1
43,accident,,note democrat it’s muslim ban islam race soleimani terrorist amp exterminated assas…,0
44,accident,"North Carolina, USA",juwan johnsonoregon one big dude look like tight end stuck receiver group accident,0
45,accident,kurger bing,appearance man upsidedown face new year’s eve party air force base man…,0
46,accident,"Faridabad, India",speeding car rammed group people returning attending temple festival ayyappan kavu thum…,1
47,accident,60,friend army lost father accident mom right still unconscious please pray mo…,1
48,accident,ngovhela Mahunguni,mlindo vocalist another car accident,1
49,accident,,“there greater treasure highest human quality compassion courage hope even tragic accide…,0
50,accident,Germany,please help friend non fault accident thats resulted vehicle writte…,0
51,accident,"South Beach, FL",hurt younger sibling “accident”,0
52,accident,"London, United Kingdom",david cameron’s decision hold referendum expressed medium road traffic accident,1
53,accident,"Phoenix, AZ 85017",auto accident injury set process motion get complicated find long take settle…,1
54,accident,"England, UK ",one right call baby accident jd called blessing used loveliest word describe what…,0
55,accident,"Melbourne, Australia",actually posted accident twitter decided stay,0
56,accident,"Pearland, TX",question let’s say happily married husband dy tragic accident deveststed pussy not…,0
57,accident,Africa,kampala metropolitan east custody two suspect allegedly strangled death passenger…,1
58,accident,USA,completely available public information fire mostly started human purpose accident th…,0
59,accident,,phd colleague went way bully cause work discomfort i…,0
60,accident,"Kerala, India",speeding car rammed group people returning attending temple festival ayyappan ka…,1
61,accident,"Staffordshire,England",old bella need new home due incident accident live older kid right ho…,0
62,accident,,:eyes:look shit:angry_face:she need little as whooped hit somebody accident lecheminduroi bransoncognac starzge…,0
63,accident,"Port Harcourt, Nigeria",youre accident earth youre god divinely crafted masterpiece designed destiny v…,0
64,accident,,iran say shot ukraine international flight accident picture aircraft in…,1
65,accident,Worldwide,saw truck container almost falling morning reported…,1
66,accident,"Ann Arbor, MI",judge le smile isn’t oldest profession accident lol,0
67,aftershock,Global,puerto rico hit another magnitude aftershock kyma,1
68,aftershock,"Puerto Rico, USA",aftershock asleep movement bed woke scary wish werent…,1
69,aftershock,In the mind of haters.,good night friend per usgs new quake morning caused aftershock forecast change…,1
70,aftershock,Czech Republic,yea wasnt long killed like second sure would to…,0
71,aftershock,USA,honored essay aftershock marking anniversary alvin toffler’s future shock compendium essay t…,0
72,aftershock,,ticket sale aftershock nowplaying,0
73,aftershock,"Bay Area, CA",come u aftershock,0
74,aftershock,"Great Southwest, U.S.A.",oo think felt aftershock,0
75,aftershock,"Katowice, Poland",quick comparison ongoing puerto rico earthquake sequence central california sequenc…,1
76,aftershock,,puerto ricans refusing go home aside aftershock ground southwest puerto rico has…,1
77,aftershock,Canada,inception social network easy black swan toy story kid right aftershock,0
78,aftershock,USA,puerto rico hit another magnitude aftershock kyma,1
79,aftershock,são paulo -sp,puerto rico hit another magnitude aftershock kyma,1
80,aftershock,"  Philippines ,From America",hard hit,0
81,aftershock,Islamabad,musharaf verdict mild aftershock extension one worry come extention,0
82,aftershock,"Flatbush, Brooklyn",puerto rico hit another magnitude aftershock kyma,1
83,aftershock,"Surabaya, Indonesia",kumera yellow aftershock featured bankbtn good living magazine photography stylist shino…,0
84,aftershock,,puerto rico hit another magnitude aftershock kyma,1
85,aftershock,USA,please pray puertorico,0
86,aftershock,ethers,puerto rico hit another magnitude aftershock kyma,1
87,aftershock,"Ковров, Россия",и снова о кризисе демографии yakovz,0
88,aftershock,"Planet Eyal, Shandral System",yeek possessor killed possession aftershock ritches tunnel,1
89,aftershock,,check latest video superzero vol closer look closer look superzero vol am…,0
90,aftershock,,might small aftershock didnt feel anything,0
